DESCRIPTION__C,ID,NAME,TITLE__C,WALTERB2BSTORE_SUSTAINABILITY_HEADINGS__R.NAME,WALTERB2BSTORE_SUSTAINABILITY_HEADINGS__C
"WALTER is breaking the glass ceiling with the goal of reaching parity in senior leadership. Through its advertising, social media initiatives, and literature, WALTER is also looking to give more visibility to women in welding and metalworking roles, encouraging women in the field.",a31O40000004ToDIAU,SUPPORTING WOMEN,SUPPORTING WOMEN,S O C I A L,a2cO900001J9iwJIAR
"We have many governance initiatives in place, such as our code of conduct and anti-bribery and corruption policy, which guide our culture of honesty, integrity, and accountability. We also ensure our employees commit to, represent, and embody our company values by ensuring they align with our many initiatives, goals, and procedures through trainings.",a31O40000004TrRIAU,BUSINESS ETHICS,BUSINESS ETHICS,G O V E R N A N C E,a2cO900001J9iwKIAR
"WALTER will align itself with SASB standards, a well-established standard approach and methodology, to track and report on ESG risks and opportunities, and measure efficiencies. By addressing our ESG priorities we are mitigating risks for our investors, delivering profit responsively, and ensuring a more sustainable long-term strategy. WALTER Surface Technologies has been on the road towards sustainability for decades and has earned prestigious international awards throughout the years, including: The American Eagle Award, the Environmental Choice Program “Eco-Logo”, CleanTech’s Cleaning Technology Award, the Deutscher Material Effizienz Preiz, the NRW Effizienz Preiz and recognition by The Wall Street Journal’s Technology Innovation Awards, among many others.",a31O40000004Tt3IAE,A P P R O A C H,,A P P R O A C H,a2cO900001J9iwLIAR
"Estamos empenhados em prevenir lesões nos funcionários, rastreando e analisando ativamente os incidentes com o objetivo de evitá-los completamente. Rastreamos dados como número de lesões, taxa de frequência, impacto na eficiência e muito mais, para oferecer o ambiente mais seguro. Maximizar a segurança tem sido uma prioridade para a WALTER há muitos anos e estamos constantemente a defender e a melhorar as nossas formações de segurança de funcionários, muito completas e de longa data.",a31O40000004kKSIAY,GARANTIR A SAÚDE E SEGURANÇA DOS NOSSOS COLABORADORES,GARANTIR A SAÚDE E SEGURANÇA DOS NOSSOS COLABORADORES,S O C I A L,a2cO900001J9iwJIAR
"Não nos concentramos apenas na segurança de nossos funcionários, mas também na de nossos clientes. Melhoramos regularmente os nossos produtos existentes, bem como projetamos novos com base no feedback dos clientes e nos dados sobre produtividade e segurança, bem como com base nos requisitos de aprovação da NSF/CFIA. Isso nos permite atrair clientes e atender às suas necessidades, incorporando uma mentalidade sustentável que atenda aos seus valores. Também pretendemos inovar com o objetivo de oferecer soluções altamente eficazes com produtos químicos menos tóxicos ou nocivos, como os nossos produtos de limpeza sem COV. Além disso, a WALTER oferece seminários de segurança gratuitos aos clientes desde 1987. Os treinamentos são concebidos para informar os clientes sobre o uso e manuseio correto dos produtos e já alcançaram mais de 60.000 metalúrgicos desde a sua criação. Continuaremos a ajudar os instrutores de soldagem fazendo parcerias com escolas profissionais de soldagem para apoiar futuros soldadores, oferecendo as ferramentas, treinamento, bolsas de estudo e recursos certos.",a31O40000004kvVIAQ,SEGURANÇA DO CLIENTE,SEGURANÇA DO CLIENTE,S O C I A L,a2cO900001J9iwJIAR
"WALTER está quebrando o teto de vidro com o objetivo de alcançar a paridade na liderança sênior. Através da sua publicidade, iniciativas nas redes sociais e literatura, a WALTER também procura dar mais visibilidade às mulheres em funções de soldadura e metalurgia, incentivando as mulheres na área.",a31O40000004l0LIAQ,APOIANDO AS MULHERES,APOIANDO AS MULHERES,S O C I A L,a2cO900001J9iwJIAR
"Nous nous engageons à prévenir les blessures des employés en suivant et en analysant activement les incidents dans le but de les prévenir complètement. Nous suivons des données telles que le nombre de blessures, le taux de fréquence, l'impact sur l'efficacité, etc., afin de fournir l'environnement le plus sûr. Maximiser la sécurité est une priorité pour WALTER depuis de nombreuses années et nous maintenons et améliorons constamment nos formations très approfondies et de longue date en matière de sécurité des employés.",a31O40000004oRFIAY,ASSURER LA SANTÉ ET LA SÉCURITÉ DE NOS EMPLOYÉS,ASSURER LA SANTÉ ET LA SÉCURITÉ DE NOS EMPLOYÉS,S O C I A L,a2cO900001J9iwJIAR
"Nous nous concentrons non seulement sur la sécurité de nos employés mais aussi sur celle de nos clients. Nous améliorons régulièrement nos produits existants et en concevons de nouveaux sur la base des commentaires des clients et des données sur la productivité et la sécurité ainsi que sur la base des exigences d'approbation NSF/ACIA. Cela nous permet d’attirer les clients et de répondre à leurs besoins en incarnant un état d’esprit durable qui correspond à leurs valeurs. Nous visons également à innover dans le but de proposer des solutions très efficaces avec des produits chimiques moins toxiques ou nocifs, comme nos nettoyants sans COV. De plus, WALTER propose à ses clients des séminaires de sécurité gratuits depuis 1987. Les formations sont conçues pour informer les clients sur l'utilisation et la manipulation appropriées des produits et ont touché plus de 60 000 métallurgistes depuis leur création. Nous continuerons d'aider les instructeurs de soudage en nous associant à des écoles de métiers de soudage pour soutenir les futurs soudeurs en leur offrant les bons outils, formations, bourses et ressources.",a31O40000004oSrIAI,SÉCURITÉ DU CLIENT,SÉCURITÉ DU CLIENT,S O C I A L,a2cO900001J9iwJIAR
"WALTER brise le plafond de verre dans le but d'atteindre la parité au sein de la haute direction. Grâce à sa publicité, ses initiatives sur les réseaux sociaux et sa documentation, WALTER cherche également à donner plus de visibilité aux femmes occupant des postes dans le soudage et la métallurgie, en encourageant les femmes dans ce domaine.",a31O40000004oUTIAY,SOUTENIR LES FEMMES,SOUTENIR LES FEMMES,S O C I A L,a2cO900001J9iwJIAR
"Estamos iniciando la recopilación de datos sobre nuestras emisiones de ALCANCE 1, 2 y 3 con el objetivo de desarrollar e implementar iniciativas que nos ayuden a avanzar hacia la descarbonización y la reducción de emisiones de GEI. Primero nos centraremos en operaciones de mayor impacto, como por ejemplo, consolidar nuestros envíos entrantes y salientes para entregar productos de manera responsable, reducir costos y ayudar a nuestros clientes a cumplir sus objetivos de reducción de emisiones.",a31O40000005FwBIAU,REDUCCIÓN DE EMISIONES DE GEI,REDUCCIÓN DE EMISIONES DE GEI,E N V I R O N M E N T,a2cO900001J9iwIIAR
"Trabajamos para ofrecer productos sostenibles que satisfagan las necesidades y objetivos de los clientes con el menor impacto en el medio ambiente, como a través de productos químicos con bajo contenido de COV o sin COV. A través de nuestras asociaciones con distribuidores, nos esforzamos por brindarles las herramientas para capturar oportunidades nuevas y cruzadas con usuarios finales que buscan soluciones más ecológicas. También buscamos minimizar los envases, hacerlos reutilizables o encontrar alternativas reciclables para reducir los residuos.",a31O40000005GAcIAM,PRODUCT DESIGN,PRODUCT DESIGN,E N V I R O N M E N T,a2cO900001J9iwIIAR
"We strive to reduce the amount of waste created during the manufacturing process. We ensure we minimize the use of hazardous materials by recycling resources and allocating them efficiently. For example, more than 80% of boxes received from our suppliers are re-used for shipments to customers.",a31O40000005GNVIA2,RESIDUOS DE FABRICACIÓN,RESIDUOS DE FABRICACIÓN,E N V I R O N M E N T,a2cO900001J9iwIIAR
"Nos aseguramos de ampliar la vida útil del producto tanto como sea posible, por ejemplo a través de nuestros servicios posventa. También ampliamos la vida útil del producto a través del diseño. Por ejemplo, nuestros cepillos SURFOX 305™ se pueden recortar para exponer cerdas nuevas, al igual que nuestros discos ENDURO-FLEX™ que también se pueden recortar para exponer aletas más abrasivas. Lanzados en 2023, nuestros discos de corte ZIP™ XX también fueron diseñados para autoafilarse gracias a nuestra nueva tecnología SMART RESIN™. Además, ofrecemos servicios de reparación posventa para muchos productos, como nuestras herramientas eléctricas, así como servicios de reafilado de nuestras cortadoras anulares.",a31O40000005GTxIAM,REDUZCA LOS RESIDUOS MEDIANTE LA GESTIÓN DEL CICLO DE VIDA,REDUZCA LOS RESIDUOS MEDIANTE LA GESTIÓN DEL CICLO DE VIDA,E N V I R O N M E N T,a2cO900001J9iwIIAR
"Estamos comprometidos a prevenir lesiones a los empleados mediante el seguimiento y análisis activo de los incidentes con el objetivo de prevenirlos por completo. Realizamos un seguimiento de datos como el número de lesiones, la tasa de frecuencia, el impacto en la eficiencia y más, para ofrecer el entorno más seguro. Maximizar la seguridad ha sido una prioridad para WALTER durante muchos años y constantemente mantenemos y mejoramos nuestra exhaustiva y duradera capacitación en seguridad para los empleados.",a31O40000005GXCIA2,GARANTIZAR LA SALUD Y SEGURIDAD DE NUESTROS EMPLEADOS,GARANTIZAR LA SALUD Y SEGURIDAD DE NUESTROS EMPLEADOS,S O C I A L,a2cO900001J9iwJIAR
"No sólo nos centramos en la seguridad de nuestros empleados sino también en la de nuestros clientes. Mejoramos periódicamente nuestros productos existentes y diseñamos otros nuevos basándonos en los comentarios de los clientes y los datos sobre productividad y seguridad, así como en los requisitos de aprobación de NSF/CFIA. Esto nos permite atraer clientes y satisfacer sus necesidades incorporando una mentalidad sostenible que cumpla con sus valores. También pretendemos innovar con el objetivo de ofrecer soluciones altamente efectivas con productos químicos menos tóxicos o nocivos, como nuestros limpiadores libres de COV. Además, WALTER ha impartido seminarios de seguridad gratuitos a clientes desde 1987. Las capacitaciones están diseñadas para informar a los clientes sobre el uso y manipulación adecuados del producto y han llegado a más de 60.000 trabajadores metalúrgicos desde su inicio. Continuaremos ayudando a los instructores de soldadura asociándonos con escuelas de oficios de soldadura para apoyar a los futuros soldadores ofreciéndoles las herramientas, capacitación, becas y recursos adecuados.",a31O40000005GfFIAU,SEGURIDAD DEL CLIENTE,SEGURIDAD DEL CLIENTE,S O C I A L,a2cO900001J9iwJIAR
"WALTER está rompiendo el techo de cristal con el objetivo de alcanzar la paridad en la alta dirección. A través de su publicidad, iniciativas de redes sociales y literatura, WALTER también busca dar más visibilidad a las mujeres en roles de soldadura y metalurgia, alentando a las mujeres en este campo.",a31O40000005GgrIAE,APOYANDO A LAS MUJERES,APOYANDO A LAS MUJERES,S O C I A L,a2cO900001J9iwJIAR
"Test Contamos con muchas iniciativas de gobernanza, como nuestro código de conducta y nuestra política antisoborno y corrupción, que guían nuestra cultura de honestidad, integridad y responsabilidad. También nos aseguramos de que nuestros empleados se comprometan, representen y encarnen los valores de nuestra empresa asegurándonos de que se alineen con nuestras numerosas iniciativas, objetivos y procedimientos a través de capacitaciones.",a31O40000005Gk5IAE,ÉTICA DE NEGOCIOS,ÉTICA DE NEGOCIOS,G O V E R N A N C E,a2cO900001J9iwKIAR
"WALTER se alineará con los estándares SASB, un enfoque y una metodología estándar bien establecidos, para rastrear e informar sobre riesgos y oportunidades ESG, y medir eficiencias. Al abordar nuestras prioridades ESG, estamos mitigando los riesgos para nuestros inversores, generando ganancias de manera receptiva y garantizando una estrategia a largo plazo más sostenible. WALTER Surface Technologies lleva décadas en el camino hacia la sostenibilidad y a lo largo de los años ha obtenido prestigiosos premios internacionales, entre ellos: el American Eagle Award, el Environmental Choice Program “Eco-Logo”, el CleanTech's Cleaning Technology Award, el Deutscher Material Effizienz Preiz, el NRW Effizienz Preiz y el reconocimiento de los Technology Innovation Awards de The Wall Street Journal, entre muchos otros.",a31O40000005GnJIAU,ACERCARSE,,A P P R O A C H,a2cO900001J9iwLIAR
